State,Role,Average Salary
Mississippi,Data Scientist,110340
Mississippi,Data Engineer,106972
Mississippi,Data Analyst,95098
Mississippi,Business Analyst,82442
Mississippi,Data Architect,129090
Missouri,Data Scientist,115237
Missouri,Data Engineer,111007
Missouri,Data Analyst,90381
Missouri,Business Analyst,83001
Missouri,Data Architect,136892
Montana,Data Scientist,88075
Montana,Data Engineer,139947
Montana,Data Analyst,82724
Montana,Business Analyst,93241
Montana,Data Architect,161521
Nebraska,Data Scientist,127384
Nebraska,Data Engineer,140081
Nebraska,Data Analyst,89654
Nebraska,Business Analyst,116487
Nebraska,Data Architect,149302
Nevada,Data Scientist,134854
Nevada,Data Engineer,102626
Nevada,Data Analyst,71187
Nevada,Business Analyst,92077
Nevada,Data Architect,129549
New Hampshire,Data Scientist,139870
New Hampshire,Data Engineer,119367
New Hampshire,Data Analyst,91636
New Hampshire,Business Analyst,97743
New Hampshire,Data Architect,115224
New Jersey,Data Scientist,116420
New Jersey,Data Engineer,111721
New Jersey,Data Analyst,66109
New Jersey,Business Analyst,112829
New Jersey,Data Architect,148244
New Mexico,Data Scientist,120874
New Mexico,Data Engineer,143219
New Mexico,Data Analyst,68623
New Mexico,Business Analyst,70601
New Mexico,Data Architect,150792
New York,Data Scientist,139560
New York,Data Engineer,141655
New York,Data Analyst,106569
New York,Business Analyst,103376
New York,Data Architect,131740
North Carolina,Data Scientist,111878
North Carolina,Data Engineer,150626
North Carolina,Data Analyst,71193
North Carolina,Business Analyst,109413
North Carolina,Data Architect,118536
North Dakota,Data Scientist,130185
North Dakota,Data Engineer,133547
North Dakota,Data Analyst,70018
North Dakota,Business Analyst,94365
North Dakota,Data Architect,169235
Ohio,Data Scientist,89822
Ohio,Data Engineer,142433
Ohio,Data Analyst,96398
Ohio,Business Analyst,76908
Ohio,Data Architect,137340
Oklahoma,Data Scientist,112386
Oklahoma,Data Engineer,123416
Oklahoma,Data Analyst,61503
Oklahoma,Business Analyst,94755
Oklahoma,Data Architect,161446
Oregon,Data Scientist,100720
Oregon,Data Engineer,144138
Oregon,Data Analyst,94752
Oregon,Business Analyst,113466
Oregon,Data Architect,120612
Pennsylvania,Data Scientist,105396
Pennsylvania,Data Engineer,118426
Pennsylvania,Data Analyst,71336
Pennsylvania,Business Analyst,102278
Pennsylvania,Data Architect,154791
Rhode Island,Data Scientist,116976
Rhode Island,Data Engineer,158308
Rhode Island,Data Analyst,97774
Rhode Island,Business Analyst,113103
Rhode Island,Data Architect,141389
South Carolina,Data Scientist,98996
South Carolina,Data Engineer,153442
South Carolina,Data Analyst,61495
South Carolina,Business Analyst,92561
South Carolina,Data Architect,151118
South Dakota,Data Scientist,110896
South Dakota,Data Engineer,150947
South Dakota,Data Analyst,92152
South Dakota,Business Analyst,117477
South Dakota,Data Architect,153950
Tennessee,Data Scientist,129178
Tennessee,Data Engineer,90208
Tennessee,Data Analyst,85144
Tennessee,Business Analyst,92109
Tennessee,Data Architect,110830
Texas,Data Scientist,92079
Texas,Data Engineer,159578
Texas,Data Analyst,88479
Texas,Business Analyst,101553
Texas,Data Architect,143599
Utah,Data Scientist,85384
Utah,Data Engineer,92252
Utah,Data Analyst,64979
Utah,Business Analyst,85837
Utah,Data Architect,162899
Vermont,Data Scientist,118253
Vermont,Data Engineer,138709
Vermont,Data Analyst,65330
Vermont,Business Analyst,96248
Vermont,Data Architect,134614
Virginia,Data Scientist,126592
Virginia,Data Engineer,98554
Virginia,Data Analyst,85843
Virginia,Business Analyst,86716
Virginia,Data Architect,131590
Washington,Data Scientist,95635
Washington,Data Engineer,170320
Washington,Data Analyst,105930
Washington,Business Analyst,103163
Washington,Data Architect,154185
West Virginia,Data Scientist,143386
West Virginia,Data Engineer,138936
West Virginia,Data Analyst,93132
West Virginia,Business Analyst,99351
West Virginia,Data Architect,134421
Wisconsin,Data Scientist,131342
Wisconsin,Data Engineer,151740
Wisconsin,Data Analyst,63936
Wisconsin,Business Analyst,95778
Wisconsin,Data Architect,128097
Wyoming,Data Scientist,118091
Wyoming,Data Engineer,158557
Wyoming,Data Analyst,61505
Wyoming,Business Analyst,86012
Wyoming,Data Architect,163750
