State,Role,Average Salary
New Hampshire,Data Scientist,122738
New Hampshire,Data Engineer,122998
New Hampshire,Data Analyst,74342
New Hampshire,Business Analyst,101190
New Hampshire,Data Architect,137030
New Jersey,Data Scientist,124608
New Jersey,Data Engineer,131693
New Jersey,Data Analyst,82466
New Jersey,Business Analyst,85000
New Jersey,Data Architect,143000
New Mexico,Data Scientist,122738
New Mexico,Data Engineer,122998
New Mexico,Data Analyst,74342
New Mexico,Business Analyst,101190
New Mexico,Data Architect,137030
New York,Data Scientist,134280
New York,Data Engineer,141914
New York,Data Analyst,77475
New York,Business Analyst,87000
New York,Data Architect,148000
North Carolina,Data Scientist,111545
North Carolina,Data Engineer,117886
North Carolina,Data Analyst,73317
North Carolina,Business Analyst,83000
North Carolina,Data Architect,141000
North Dakota,Data Scientist,122738
North Dakota,Data Engineer,122998
North Dakota,Data Analyst,74342
North Dakota,Business Analyst,101190
North Dakota,Data Architect,137030
Ohio,Data Scientist,122738
Ohio,Data Engineer,122998
Ohio,Data Analyst,74342
Ohio,Business Analyst,101190
Ohio,Data Architect,137030
Oklahoma,Data Scientist,122738
Oklahoma,Data Engineer,122998
Oklahoma,Data Analyst,74342
Oklahoma,Business Analyst,101190
Oklahoma,Data Architect,137030
Oregon,Data Scientist,122738
Oregon,Data Engineer,122998
Oregon,Data Analyst,74342
Oregon,Business Analyst,101190
Oregon,Data Architect,137030
Pennsylvania,Data Scientist,122738
Pennsylvania,Data Engineer,122998
Pennsylvania,Data Analyst,74342
Pennsylvania,Business Analyst,101190
Pennsylvania,Data Architect,137030
Rhode Island,Data Scientist,122738
Rhode Island,Data Engineer,122998
Rhode Island,Data Analyst,74342
Rhode Island,Business Analyst,101190
Rhode Island,Data Architect,137030
South Carolina,Data Scientist,122738
South Carolina,Data Engineer,122998
South Carolina,Data Analyst,74342
South Carolina,Business Analyst,101190
South Carolina,Data Architect,137030
South Dakota,Data Scientist,122738
South Dakota,Data Engineer,122998
South Dakota,Data Analyst,74342
South Dakota,Business Analyst,101190
South Dakota,Data Architect,137030
Tennessee,Data Scientist,122738
Tennessee,Data Engineer,122998
Tennessee,Data Analyst,74342
Tennessee,Business Analyst,101190
Tennessee,Data Architect,137030
Texas,Data Scientist,114350
Texas,Data Engineer,120851
Texas,Data Analyst,70393
Texas,Business Analyst,82000
Texas,Data Architect,142000
Utah,Data Scientist,122738
Utah,Data Engineer,122998
Utah,Data Analyst,74342
Utah,Business Analyst,101190
Utah,Data Architect,137030
Vermont,Data Scientist,122738
Vermont,Data Engineer,122998
Vermont,Data Analyst,74342
Vermont,Business Analyst,101190
Vermont,Data Architect,137030
Virginia,Data Scientist,122738
Virginia,Data Engineer,122998
Virginia,Data Analyst,74342
Virginia,Business Analyst,101190
Virginia,Data Architect,137030
Washington,Data Scientist,139013
Washington,Data Engineer,146916
Washington,Data Analyst,80018
Washington,Business Analyst,89000
Washington,Data Architect,152000
West Virginia,Data Scientist,122738
West Virginia,Data Engineer,122998
West Virginia,Data Analyst,74342
West Virginia,Business Analyst,101190
West Virginia,Data Architect,137030
Wisconsin,Data Scientist,122738
Wisconsin,Data Engineer,122998
Wisconsin,Data Analyst,74342
Wisconsin,Business Analyst,101190
Wisconsin,Data Architect,137030
Wyoming,Data Scientist,122738
Wyoming,Data Engineer,122998
Wyoming,Data Analyst,74342
Wyoming,Business Analyst,101190
Wyoming,Data Architect,137030
